"a" "b"
"1" 2 2
"2" 4 4
"3" 6 6
"4" 8 8
"5" 10 10
"6" 2 12
"7" 4 14
"8" 6 16
"9" 8 18
"10" 10 20
"11" 2 22
"12" 4 24
"13" 6 26
"14" 8 28
"15" 10 30
"16" 2 32
"17" 4 34
"18" 6 36
"19" 8 38
"20" 10 40
"21" 2 42
"22" 4 44
"23" 6 46
"24" 8 48
"25" 10 50
"26" 2 52
"27" 4 54
"28" 6 56
"29" 8 58
"30" 10 60
"31" 2 62
"32" 4 64
"33" 6 66
"34" 8 68
"35" 10 70
"36" 2 72
"37" 4 74
"38" 6 76
"39" 8 78
"40" 10 80
"41" 2 82
"42" 4 84
"43" 6 86
"44" 8 88
"45" 10 90
"46" 2 92
"47" 4 94
"48" 6 96
"49" 8 98
"50" 10 100
